ResponseId,Age,YearsCode,CompTotal,ConvertedCompYearly
1,18-24 years old,NA,NA,NA
2,25-34 years old,18,285000,285000
3,45-54 years old,27,250000,250000
4,25-34 years old,12,156000,156000
5,25-34 years old,6,1320000,23456
6,35-44 years old,21,78000,96828
7,35-44 years old,4,135000,135000
8,25-34 years old,5,80000,80000
9,45-54 years old,20,60000,64254
10,25-34 years old,6,NA,NA
11,25-34 years old,14,NA,NA
12,25-34 years old,10,118000,78003
13,25-34 years old,10,75000,75000
14,35-44 years old,5,150000,150000
15,25-34 years old,15,175000,187407
16,35-44 years old,15,100000,107090
17,35-44 years old,4,490000,45149
18,25-34 years old,11,55000,58899
19,Under 18 years old,3,5555,14
20,35-44 years old,24,70044,75010
21,25-34 years old,6,49000,60828
22,25-34 years old,20,80000,85672
23,25-34 years old,8,120000,120000
24,25-34 years old,13,65000,69608
25,35-44 years old,Less than 1 year,35000,37481
26,35-44 years old,12,2000000,103743
27,25-34 years old,16,NA,NA
28,35-44 years old,20,NA,NA
29,35-44 years old,3,31000,38483
30,35-44 years old,15,70000,74963
31,35-44 years old,24,360000,237974
32,25-34 years old,5,130000,26374
33,25-34 years old,10,50000,53545
34,25-34 years old,10,70000,74963
35,35-44 years old,16,40000,42836
36,35-44 years old,5,NA,NA
37,55-64 years old,33,130000,130000
38,25-34 years old,13,50408,53982
39,25-34 years old,6,110000,136552
40,25-34 years old,10,1560000,14503
41,18-24 years old,11,150000,111527
42,25-34 years old,10,NA,NA
43,45-54 years old,21,165000,165000
44,18-24 years old,3,63000,63000
45,35-44 years old,22,98000,98000
46,25-34 years old,13,136500,101490
47,25-34 years old,3,NA,NA
48,55-64 years old,30,NA,NA
49,55-64 years old,32,136000,149894
50,25-34 years old,15,NA,NA
51,35-44 years old,6,NA,NA
52,25-34 years old,4,500000,1721
53,Under 18 years old,7,NA,NA
54,Under 18 years old,7,NA,NA
55,25-34 years old,5,NA,NA
56,45-54 years old,35,65000,65000
57,25-34 years old,20,42000,44978
58,Under 18 years old,4,NA,NA
59,18-24 years old,4,NA,NA
60,25-34 years old,8,105000,105000
61,25-34 years old,10,150000,160634
62,35-44 years old,20,77000,82459
63,Under 18 years old,4,NA,NA
64,35-44 years old,20,NA,NA
65,18-24 years old,10,36000,38552
66,45-54 years old,28,NA,NA
67,25-34 years old,10,3400000,41197
68,35-44 years old,10,NA,NA
69,18-24 years old,8,NA,NA
70,25-34 years old,8,NA,NA
71,45-54 years old,NA,NA,NA
72,25-34 years old,12,120000,128507
73,55-64 years old,40,NA,NA
74,18-24 years old,3,NA,NA
75,35-44 years old,17,5500,NA
76,45-54 years old,20,NA,NA
77,35-44 years old,15,65000,69608
78,35-44 years old,10,NA,NA
79,18-24 years old,5,NA,NA
80,Under 18 years old,Less than 1 year,NA,NA
81,25-34 years old,5,7000,7000
82,18-24 years old,10,NA,NA
83,25-34 years old,10,NA,NA
84,25-34 years old,11,NA,NA
85,35-44 years old,7,40000,42836
86,25-34 years old,7,NA,NA
87,25-34 years old,12,NA,NA
88,18-24 years old,5,NA,NA
89,35-44 years old,20,120000,24345
90,25-34 years old,NA,NA,NA
91,18-24 years old,6,NA,NA
92,35-44 years old,18,50000,53545
93,25-34 years old,15,110000,72714
94,18-24 years old,8,NA,NA
95,Under 18 years old,8,NA,NA
96,18-24 years old,6,30000,371
97,25-34 years old,12,80800,86528
98,25-34 years old,10,NA,NA
99,35-44 years old,20,NA,NA
100,25-34 years old,12,28800,30842
101,45-54 years old,29,140000,140000
102,25-34 years old,19,62000,66396
103,18-24 years old,8,NA,NA
104,65 years or older,More than 50 years,150000,160634
105,18-24 years old,10,NA,NA
106,18-24 years old,Less than 1 year,NA,NA
107,25-34 years old,8,NA,NA
108,25-34 years old,11,92000,18665
109,25-34 years old,15,110000,117798
110,Under 18 years old,3,NA,NA
111,25-34 years old,12,145000,145000
112,25-34 years old,20,NA,NA
113,25-34 years old,12,80000,85672
114,25-34 years old,5,NA,NA
115,18-24 years old,7,NA,NA
116,18-24 years old,10,NA,NA
117,35-44 years old,12,80000,85672
118,18-24 years old,9,NA,NA
119,25-34 years old,10,150000,111167
120,25-34 years old,12,37200,39837
121,35-44 years old,22,70000,3291
122,25-34 years old,20,200990,200990
123,25-34 years old,10,NA,NA
124,65 years or older,More than 50 years,NA,NA
125,45-54 years old,38,2200,2356
126,35-44 years old,20,500000,46071
127,45-54 years old,26,90000,96381
128,25-34 years old,7,1500000,18175
129,35-44 years old,34,1000000,90613
130,35-44 years old,13,NA,NA
131,35-44 years old,14,118000,118000
132,35-44 years old,20,NA,NA
133,18-24 years old,4,NA,NA
134,25-34 years old,13,96000,102806
135,Under 18 years old,10,NA,NA
136,18-24 years old,7,NA,NA
137,18-24 years old,5,1860000,23019
138,35-44 years old,8,150000,150000
139,25-34 years old,10,NA,NA
140,35-44 years old,20,10000000,91371
141,45-54 years old,25,NA,NA
142,25-34 years old,9,36000,8613
143,18-24 years old,2,3600000000,85041
144,25-34 years old,3,NA,NA
145,25-34 years old,8,200000,47852
146,45-54 years old,35,NA,NA
147,18-24 years old,5,10000,10709
148,45-54 years old,35,100000,107090
149,25-34 years old,10,4200000,31833
150,35-44 years old,16,140000,149925
151,25-34 years old,8,110000,121238
152,25-34 years old,22,120000,128507
153,25-34 years old,21,110000,72714
154,35-44 years old,20,200000,200000
155,35-44 years old,18,65000,69608
156,25-34 years old,6,NA,NA
157,45-54 years old,Less than 1 year,NA,NA
158,65 years or older,27,NA,NA
159,35-44 years old,25,NA,NA
160,25-34 years old,13,200000,47852
161,25-34 years old,11,56000,59970
162,55-64 years old,14,NA,NA
163,25-34 years old,8,50000,53545
164,25-34 years old,14,15000,3237
165,18-24 years old,7,70000,52046
166,25-34 years old,9,39000,41765
167,25-34 years old,9,66604,71326
168,45-54 years old,38,NA,NA
169,65 years or older,45,NA,NA
170,25-34 years old,13,NA,NA
171,25-34 years old,9,58800,62969
172,Under 18 years old,4,NA,NA
173,18-24 years old,9,NA,NA
174,Under 18 years old,2,NA,NA
